DS,Y
04/01/2019 00:00,23
05/01/2019 00:00,83
06/01/2019 00:00,102
07/01/2019 00:00,17
08/01/2019 00:00,12
09/01/2019 00:00,22
10/01/2019 00:00,25
11/01/2019 00:00,22
12/01/2019 00:00,10
13/01/2019 00:00,30
16/01/2019 00:00,23
17/01/2019 00:00,10
18/01/2019 00:00,2
19/01/2019 00:00,20
20/01/2019 00:00,27
21/01/2019 00:00,23
22/01/2019 00:00,57
23/01/2019 00:00,28
24/01/2019 00:00,25
25/01/2019 00:00,5
26/01/2019 00:00,12
27/01/2019 00:00,21
28/01/2019 00:00,67
29/01/2019 00:00,35
30/01/2019 00:00,40
31/01/2019 00:00,50
01/02/2019 00:00,32
02/02/2019 00:00,3
03/02/2019 00:00,20
04/02/2019 00:00,70
05/02/2019 00:00,35
06/02/2019 00:00,15
07/02/2019 00:00,38
08/02/2019 00:00,17
09/02/2019 00:00,27
10/02/2019 00:00,12
11/02/2019 00:00,44
12/02/2019 00:00,113
13/02/2019 00:00,65
15/02/2019 00:00,2
16/02/2019 00:00,39
17/02/2019 00:00,45
18/02/2019 00:00,25
19/02/2019 00:00,42
20/02/2019 00:00,15
21/02/2019 00:00,38
22/02/2019 00:00,16
24/02/2019 00:00,30
25/02/2019 00:00,39
26/02/2019 00:00,34
27/02/2019 00:00,62
28/02/2019 00:00,32
01/03/2019 00:00,13
02/03/2019 00:00,45
03/03/2019 00:00,17
04/03/2019 00:00,33
06/03/2019 00:00,12
07/03/2019 00:00,27
08/03/2019 00:00,25
09/03/2019 00:00,2
10/03/2019 00:00,17
12/03/2019 00:00,4
13/03/2019 00:00,10
14/03/2019 00:00,20
15/03/2019 00:00,40
16/03/2019 00:00,13
17/03/2019 00:00,13
18/03/2019 00:00,12
19/03/2019 00:00,27
20/03/2019 00:00,85
21/03/2019 00:00,23
22/03/2019 00:00,25
23/03/2019 00:00,8
24/03/2019 00:00,8
25/03/2019 00:00,48
26/03/2019 00:00,58
27/03/2019 00:00,15
28/03/2019 00:00,14
29/03/2019 00:00,23
30/03/2019 00:00,10
31/03/2019 00:00,13
01/04/2019 00:00,3
02/04/2019 00:00,8
04/04/2019 00:00,50
05/04/2019 00:00,23
06/04/2019 00:00,25
07/04/2019 00:00,35
08/04/2019 00:00,60
09/04/2019 00:00,25
10/04/2019 00:00,55
11/04/2019 00:00,43
12/04/2019 00:00,10
13/04/2019 00:00,17
14/04/2019 00:00,10
15/04/2019 00:00,25
16/04/2019 00:00,30
17/04/2019 00:00,13
18/04/2019 00:00,35
19/04/2019 00:00,20
20/04/2019 00:00,10
21/04/2019 00:00,42
22/04/2019 00:00,45
23/04/2019 00:00,43
24/04/2019 00:00,12
25/04/2019 00:00,20
26/04/2019 00:00,14
27/04/2019 00:00,20
28/04/2019 00:00,16
30/04/2019 00:00,20
01/05/2019 00:00,16
02/05/2019 00:00,35
04/05/2019 00:00,10
05/05/2019 00:00,4
06/05/2019 00:00,25
07/05/2019 00:00,10
08/05/2019 00:00,50
09/05/2019 00:00,30
10/05/2019 00:00,33
12/05/2019 00:00,5
13/05/2019 00:00,35
15/05/2019 00:00,15
17/05/2019 00:00,19
18/05/2019 00:00,19
19/05/2019 00:00,20
20/05/2019 00:00,40
22/05/2019 00:00,25
23/05/2019 00:00,15
24/05/2019 00:00,15
26/05/2019 00:00,20
27/05/2019 00:00,10
28/05/2019 00:00,30
29/05/2019 00:00,30
30/05/2019 00:00,20
31/05/2019 00:00,45
01/06/2019 00:00,5
04/06/2019 00:00,39
06/06/2019 00:00,10
07/06/2019 00:00,49
08/06/2019 00:00,41
09/06/2019 00:00,15
10/06/2019 00:00,40
11/06/2019 00:00,85
12/06/2019 00:00,21
13/06/2019 00:00,25
14/06/2019 00:00,5
15/06/2019 00:00,15
16/06/2019 00:00,30
17/06/2019 00:00,15
18/06/2019 00:00,95
19/06/2019 00:00,68
20/06/2019 00:00,30
21/06/2019 00:00,50
22/06/2019 00:00,20
23/06/2019 00:00,10
24/06/2019 00:00,10
25/06/2019 00:00,15
26/06/2019 00:00,25
27/06/2019 00:00,10
28/06/2019 00:00,25
29/06/2019 00:00,10
30/06/2019 00:00,10
02/07/2019 00:00,60
03/07/2019 00:00,10
04/07/2019 00:00,25
05/07/2019 00:00,20
06/07/2019 00:00,15
07/07/2019 00:00,5
08/07/2019 00:00,12
09/07/2019 00:00,25
10/07/2019 00:00,54
11/07/2019 00:00,10
12/07/2019 00:00,48
13/07/2019 00:00,15
14/07/2019 00:00,15
16/07/2019 00:00,25
17/07/2019 00:00,45
18/07/2019 00:00,30
20/07/2019 00:00,25
21/07/2019 00:00,5
22/07/2019 00:00,30
23/07/2019 00:00,37
24/07/2019 00:00,34
25/07/2019 00:00,50
26/07/2019 00:00,5
27/07/2019 00:00,20
28/07/2019 00:00,30
29/07/2019 00:00,20
30/07/2019 00:00,20
31/07/2019 00:00,45
01/08/2019 00:00,70
02/08/2019 00:00,16
03/08/2019 00:00,15
06/08/2019 00:00,20
07/08/2019 00:00,30
08/08/2019 00:00,60
10/08/2019 00:00,20
11/08/2019 00:00,35
12/08/2019 00:00,20
13/08/2019 00:00,52
14/08/2019 00:00,50
15/08/2019 00:00,15
16/08/2019 00:00,30
17/08/2019 00:00,78
19/08/2019 00:00,10
20/08/2019 00:00,30
21/08/2019 00:00,40
22/08/2019 00:00,50
23/08/2019 00:00,14
24/08/2019 00:00,15
25/08/2019 00:00,15
26/08/2019 00:00,30
27/08/2019 00:00,30
28/08/2019 00:00,45
29/08/2019 00:00,40
30/08/2019 00:00,30
31/08/2019 00:00,10
01/09/2019 00:00,40
02/09/2019 00:00,20
03/09/2019 00:00,50
