Date,DRUG,Qty
2017-11-21 00:00:00,Ampicloxa 500mg caps ord(10x10),67
2017-11-22 00:00:00,Ampicloxa 500mg caps ord(10x10),32
2017-11-23 00:00:00,Ampicloxa 500mg caps ord(10x10),65
2017-11-24 00:00:00,Ampicloxa 500mg caps ord(10x10),135
2017-11-25 00:00:00,Ampicloxa 500mg caps ord(10x10),61
2017-11-26 00:00:00,Ampicloxa 500mg caps ord(10x10),104
2017-11-27 00:00:00,Ampicloxa 500mg caps ord(10x10),29
2017-11-28 00:00:00,Ampicloxa 500mg caps ord(10x10),60
2017-11-29 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2017-12-01 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2017-12-02 00:00:00,Ampicloxa 500mg caps ord(10x10),77
2017-12-03 00:00:00,Ampicloxa 500mg caps ord(10x10),102
2017-12-04 00:00:00,Ampicloxa 500mg caps ord(10x10),82
2017-12-05 00:00:00,Ampicloxa 500mg caps ord(10x10),330
2017-12-06 00:00:00,Ampicloxa 500mg caps ord(10x10),68
2017-12-07 00:00:00,Ampicloxa 500mg caps ord(10x10),16
2017-12-08 00:00:00,Ampicloxa 500mg caps ord(10x10),48
2017-12-09 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2017-12-10 00:00:00,Ampicloxa 500mg caps ord(10x10),50
2017-12-12 00:00:00,Ampicloxa 500mg caps ord(10x10),57
2017-12-13 00:00:00,Ampicloxa 500mg caps ord(10x10),34
2017-12-14 00:00:00,Ampicloxa 500mg caps ord(10x10),34
2017-12-15 00:00:00,Ampicloxa 500mg caps ord(10x10),70
2017-12-16 00:00:00,Ampicloxa 500mg caps ord(10x10),49
2017-12-17 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2017-12-18 00:00:00,Ampicloxa 500mg caps ord(10x10),82
2017-12-19 00:00:00,Ampicloxa 500mg caps ord(10x10),59
2017-12-20 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2017-12-22 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2017-12-23 00:00:00,Ampicloxa 500mg caps ord(10x10),37
2017-12-24 00:00:00,Ampicloxa 500mg caps ord(10x10),94
2017-12-25 00:00:00,Ampicloxa 500mg caps ord(10x10),130
2017-12-26 00:00:00,Ampicloxa 500mg caps ord(10x10),65
2017-12-27 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2017-12-28 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2017-12-29 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2017-12-30 00:00:00,Ampicloxa 500mg caps ord(10x10),70
2017-12-31 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-01-01 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-01-02 00:00:00,Ampicloxa 500mg caps ord(10x10),85
2018-01-03 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-01-04 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-01-05 00:00:00,Ampicloxa 500mg caps ord(10x10),36
2018-01-06 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-01-07 00:00:00,Ampicloxa 500mg caps ord(10x10),55
2018-01-08 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2018-01-09 00:00:00,Ampicloxa 500mg caps ord(10x10),29
2018-01-10 00:00:00,Ampicloxa 500mg caps ord(10x10),50
2018-01-11 00:00:00,Ampicloxa 500mg caps ord(10x10),5
2018-01-12 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2018-01-13 00:00:00,Ampicloxa 500mg caps ord(10x10),41
2018-01-14 00:00:00,Ampicloxa 500mg caps ord(10x10),70
2018-01-15 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-01-16 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2018-01-17 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2018-01-18 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2018-01-19 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-01-20 00:00:00,Ampicloxa 500mg caps ord(10x10),55
2018-01-21 00:00:00,Ampicloxa 500mg caps ord(10x10),84
2018-01-22 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-01-23 00:00:00,Ampicloxa 500mg caps ord(10x10),96
2018-01-24 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2018-01-25 00:00:00,Ampicloxa 500mg caps ord(10x10),110
2018-01-26 00:00:00,Ampicloxa 500mg caps ord(10x10),100
2018-01-27 00:00:00,Ampicloxa 500mg caps ord(10x10),15
2018-01-28 00:00:00,Ampicloxa 500mg caps ord(10x10),60
2018-01-29 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-01-30 00:00:00,Ampicloxa 500mg caps ord(10x10),22
2018-01-31 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-02-01 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2018-02-02 00:00:00,Ampicloxa 500mg caps ord(10x10),16
2018-02-03 00:00:00,Ampicloxa 500mg caps ord(10x10),21
2018-02-04 00:00:00,Ampicloxa 500mg caps ord(10x10),65
2018-02-05 00:00:00,Ampicloxa 500mg caps ord(10x10),41
2018-02-06 00:00:00,Ampicloxa 500mg caps ord(10x10),17
2018-02-07 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-02-08 00:00:00,Ampicloxa 500mg caps ord(10x10),20
2018-02-09 00:00:00,Ampicloxa 500mg caps ord(10x10),44
2018-02-10 00:00:00,Ampicloxa 500mg caps ord(10x10),19
2018-02-11 00:00:00,Ampicloxa 500mg caps ord(10x10),8
2018-02-12 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2018-02-13 00:00:00,Ampicloxa 500mg caps ord(10x10),77
2018-02-14 00:00:00,Ampicloxa 500mg caps ord(10x10),36
2018-02-15 00:00:00,Ampicloxa 500mg caps ord(10x10),29
2018-02-16 00:00:00,Ampicloxa 500mg caps ord(10x10),16
2018-02-17 00:00:00,Ampicloxa 500mg caps ord(10x10),53
2018-02-18 00:00:00,Ampicloxa 500mg caps ord(10x10),15
2018-02-19 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2018-02-20 00:00:00,Ampicloxa 500mg caps ord(10x10),14
2018-02-21 00:00:00,Ampicloxa 500mg caps ord(10x10),57
2018-02-22 00:00:00,Ampicloxa 500mg caps ord(10x10),4
2018-02-23 00:00:00,Ampicloxa 500mg caps ord(10x10),15
2018-02-24 00:00:00,Ampicloxa 500mg caps ord(10x10),50
2018-02-25 00:00:00,Ampicloxa 500mg caps ord(10x10),109
2018-02-26 00:00:00,Ampicloxa 500mg caps ord(10x10),62
2018-02-27 00:00:00,Ampicloxa 500mg caps ord(10x10),17
2018-02-28 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2018-03-01 00:00:00,Ampicloxa 500mg caps ord(10x10),7
2018-03-02 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2018-03-03 00:00:00,Ampicloxa 500mg caps ord(10x10),39
2018-03-05 00:00:00,Ampicloxa 500mg caps ord(10x10),17
2018-03-06 00:00:00,Ampicloxa 500mg caps ord(10x10),113
2018-03-07 00:00:00,Ampicloxa 500mg caps ord(10x10),35
2018-03-08 00:00:00,Ampicloxa 500mg caps ord(10x10),25
2018-03-09 00:00:00,Ampicloxa 500mg caps ord(10x10),30
2018-03-10 00:00:00,Ampicloxa 500mg caps ord(10x10),90
2018-03-11 00:00:00,Ampicloxa 500mg caps ord(10x10),10
2018-03-12 00:00:00,Ampicloxa 500mg caps ord(10x10),15
2018-03-13 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-03-14 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-03-15 00:00:00,Ampicloxa 500mg caps ord(10x10),102
2018-03-16 00:00:00,Ampicloxa 500mg caps ord(10x10),32
2018-03-17 00:00:00,Ampicloxa 500mg caps ord(10x10),31
2018-03-18 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2018-03-19 00:00:00,Ampicloxa 500mg caps ord(10x10),40
2018-03-20 00:00:00,Ampicloxa 500mg caps ord(10x10),45
2018-03-21 00:00:00,Ampicloxa 500mg caps ord(10x10),70
2018-03-22 00:00:00,Ampicloxa 500mg caps ord(10x10),80
2018-03-23 00:00:00,Ampicloxa 500mg caps ord(10x10),32
2018-03-24 00:00:00,Ampicloxa 500mg caps ord(10x10),1
2018-03-25 00:00:00,Ampicloxa 500mg caps ord(10x10),70
2018-03-26 00:00:00,Ampicloxa 500mg caps ord(10x10),60
2018-03-27 00:00:00,Ampicloxa 500mg caps ord(10x10),60
2018-03-28 00:00:00,Ampicloxa 500mg caps ord(10x10),55
2018-03-29 00:00:00,Ampicloxa 500mg caps ord(10x10),65
2018-03-30 00:00:00,Ampicloxa 500mg caps ord(10x10),110
2018-03-31 00:00:00,Ampicloxa 500mg caps ord(10x10),68
